Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team
645,Alberto Escassi,ESP,"DF,MF",Malaga,33,1989,13,13,1068,11.9,1,0,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,33
646,Gonzalo Escobar,ARG,"DF,MF",UD Ibiza,25,1997,9,6,630,7.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,39
647,Dani Escriche,ESP,"FW,MF",Huesca,24,1998,10,7,611,6.8,0,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,28
648,Dani Esmorís,ESP,DF,Villarreal B,22,2000,15,13,1193,13.3,1,1,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,40
649,Eduardo Espiau,ESP,FW,Ponferradina,27,1994,15,5,611,6.8,2,0,2,0,0,4,0,0.29,0.0,0.29,0.29,0.29,35
650,Etyan,ESP,FW,Tenerife,20,2002,1,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,38
651,Euse,ESP,DF,Huesca,21,2000,2,0,26,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28
652,Mamadou Fall,SEN,DF,Villarreal B,19,2002,12,12,1080,12.0,2,0,2,0,0,2,0,0.17,0.0,0.17,0.17,0.17,40
653,Aleix Febas,ESP,MF,Malaga,26,1996,15,13,1100,12.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,33
654,Jesús Fernández Alonso,ESP,DF,Lugo,22,2000,7,5,477,5.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,32
655,Andrés Fernández,ESP,GK,Huesca,35,1986,15,15,1350,15.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28
656,Dani Fernandez,ESP,"DF,MF",Racing Sant,25,1997,12,8,754,8.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36
657,Marc Fernández,ESP,FW,Andorra,32,1990,9,6,476,5.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22
658,Raúl Fernández,ESP,GK,Granada,34,1988,9,8,746,8.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27
659,Juan Ferney Otero,COL,MF,Sporting Gijon,27,1995,15,15,1183,13.1,2,0,2,0,0,1,0,0.15,0.0,0.15,0.15,0.15,37
660,André Ferreira,POR,GK,Granada,26,1996,7,7,604,6.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27
661,David Ferreiro,ESP,"MF,FW",Cartagena,34,1988,3,3,187,2.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24
662,Franchu Feuillassier,ARG,"MF,FW",Cartagena,24,1998,7,2,254,2.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,24
663,Marcelo Flores,MEX,"FW,MF",Oviedo,19,2003,9,3,331,3.7,0,1,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27,34
664,Issa Fomba,MLI,MF,Malaga,21,2001,2,0,46,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33
665,Álex Forés,ESP,FW,Villarreal B,21,2001,6,1,171,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40
666,Alejandro Francés,ESP,DF,Zaragoza,20,2002,8,8,720,8.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,41
667,Enric Franquesa,ESP,DF,Levante,25,1997,9,5,468,5.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,31
668,Jorge de Frutos,ESP,"MF,FW",Levante,25,1997,14,10,949,10.5,2,2,2,0,0,3,0,0.19,0.19,0.38,0.19,0.38,31
669,Gabriel Fuentes,COL,DF,Zaragoza,25,1997,11,11,990,11.0,0,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09,41
670,Manuel Fuster,ESP,"MF,FW",Albacete,25,1997,15,13,1183,13.1,2,3,2,0,0,1,0,0.15,0.23,0.38,0.15,0.38,21
671,Daniel Fuzato,BRA,GK,UD Ibiza,25,1997,15,15,1350,15.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,39
672,Álex Gallar,ESP,MF,Malaga,30,1992,9,8,631,7.0,1,3,1,0,0,0,0,0.14,0.43,0.57,0.14,0.57,33
673,Enric Gallego,ESP,FW,Tenerife,36,1986,15,14,1234,13.7,3,1,1,2,2,3,0,0.22,0.07,0.29,0.07,0.15,38
674,Álex Gálvez,ESP,"DF,MF",UD Ibiza,33,1989,8,4,360,4.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,39
675,Fran Gámez,ESP,DF,Zaragoza,31,1991,14,12,973,10.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,41
676,Borja Garcés,ESP,FW,Tenerife,23,1999,12,5,521,5.8,2,0,2,0,0,1,1,0.35,0.0,0.35,0.35,0.35,38
677,Aitor García,ESP,MF,Sporting Gijon,28,1994,7,3,265,2.9,2,0,2,0,0,1,0,0.68,0.0,0.68,0.68,0.68,37
678,Álvaro García,ESP,"DF,MF",UD Ibiza,22,2000,5,4,277,3.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,39
679,Antonio Cristian Glauder García,ESP,DF,Albacete,27,1995,5,2,166,1.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,21
680,Fran García,ESP,DF,Burgos,29,1992,10,9,806,9.0,0,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,23
681,Francisco Jesús Crespo García,ESP,"MF,FW",Las Palmas,26,1996,9,3,344,3.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29
682,Juanma García,ESP,"FW,MF",Albacete,31,1991,10,8,664,7.4,1,1,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,21
683,Manu García,ESP,MF,CD Mirandes,36,1986,11,2,254,2.8,1,0,1,0,0,4,0,0.35,0.0,0.35,0.35,0.35,25
684,Naim García,ESP,"MF,FW",Leganes,20,2002,9,5,386,4.3,2,0,2,0,0,1,0,0.47,0.0,0.47,0.47,0.47,30
685,Saúl García,ESP,DF,Racing Sant,28,1994,6,1,135,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36
686,Sergi García,ESP,MF,Albacete,23,1999,2,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21
687,Manu Garrido,ESP,FW,Leganes,22,2000,3,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,30
688,Sékou Gassama,SEN,FW,Racing Sant,27,1995,5,5,330,3.7,1,0,1,0,0,2,0,0.27,0.0,0.27,0.27,0.27,36
689,Gelabert,ESP,MF,CD Mirandes,22,2000,3,0,102,1.1,1,0,1,0,0,0,0,0.88,0.0,0.88,0.88,0.88,25
690,Tiago Geralnik,ARG,MF,Villarreal B,19,2003,6,4,251,2.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,40
691,Mourad El Ghezouani,MAR,FW,Burgos,24,1998,12,7,604,6.7,2,0,2,0,0,3,0,0.3,0.0,0.3,0.3,0.3,23
692,Gianni,ESP,GK,Villarreal B,30,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40
693,Iván Gil,ESP,"MF,FW",Andorra,22,2000,9,5,458,5.1,1,0,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,22
694,David Goldar,ESP,DF,UD Ibiza,28,1994,9,8,721,8.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,39
695,Borja González,ESP,DF,Burgos,26,1995,13,8,753,8.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23
696,Cristo González,ESP,"FW,MF",Sporting Gijon,25,1997,13,9,688,7.6,4,0,4,0,0,2,0,0.52,0.0,0.52,0.52,0.52,37
697,Daniel González,ESP,FW,Albacete,20,2002,3,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21
698,Fabio González,ESP,MF,Las Palmas,25,1997,11,3,396,4.4,0,1,0,0,0,2,0,0.0,0.23,0.23,0.0,0.23,29
699,Roberto González,ESP,MF,Alaves,21,2001,9,2,301,3.3,0,1,0,0,0,1,0,0.0,0.3,0.3,0.0,0.3,20
700,Rubén González,ESP,DF,Racing Sant,28,1994,14,13,1197,13.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,36
701,Sergio González,ESP,"DF,MF",Tenerife,25,1997,5,4,371,4.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,38
702,José Gragera,ESP,MF,Sporting Gijon,21,2000,10,7,706,7.8,2,0,2,0,0,1,0,0.25,0.0,0.25,0.25,0.25,37
703,Jaume Grau,ESP,MF,Zaragoza,25,1997,14,14,1164,12.9,1,0,1,0,0,5,1,0.08,0.0,0.08,0.08,0.08,41
704,Francisco Grimà Aguilera,ESP,DF,UD Ibiza,35,1987,8,7,625,6.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,39
705,Makhtar Gueye,SEN,FW,Zaragoza,24,1997,8,2,239,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41
706,Jon Guridi,ESP,"MF,FW",Alaves,27,1995,14,12,1084,12.0,0,1,0,0,1,1,0,0.0,0.08,0.08,0.0,0.08,20
707,Cristian Gutierrez,ESP,MF,Malaga,21,2000,6,3,323,3.6,2,0,2,0,0,1,0,0.56,0.0,0.56,0.56,0.56,33
708,Hacen,MTN,"FW,MF",Lugo,24,1997,12,4,435,4.8,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,32
