Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team
893,Pinchi,ESP,"MF,FW",CD Mirandes,26,1996,11,9,665,7.4,3,0,3,0,0,0,0,0.41,0.0,0.41,0.41,0.41,25
894,Bruno Pires,BRA,DF,Lugo,30,1992,4,2,144,1.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,32
895,Jordi Pola,ESP,DF,Sporting Gijon,22,2000,2,0,63,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37
896,Carlos Pomares Rayo,ESP,DF,Oviedo,29,1992,6,5,434,4.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,34
897,Jorge Pombo,ESP,"MF,FW",Racing Sant,28,1994,9,9,683,7.6,1,0,1,0,0,4,2,0.13,0.0,0.13,0.13,0.13,36
898,Sergio Postigo,ESP,DF,Levante,34,1988,11,9,866,9.6,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,31
899,Darío Poveda,ESP,"FW,MF",UD Ibiza,25,1997,12,7,533,5.9,1,1,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,39
900,Prados,ESP,MF,CD Mirandes,21,2001,15,13,1083,12.0,0,2,0,0,0,4,0,0.0,0.17,0.17,0.0,0.17,25
901,Miguel Prendes,ESP,MF,Oviedo,21,2001,2,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,34
902,Pubill,ESP,DF,Levante,19,2003,3,3,187,2.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,31
903,Miguel Puche García,ESP,MF,Zaragoza,21,2001,12,3,360,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,41
904,Antonio Puertas,ESP,MF,Granada,30,1992,15,13,1130,12.6,1,2,1,0,0,0,0,0.08,0.16,0.24,0.08,0.24,27
905,Ricard Pujol,ESP,DF,Ponferradina,24,1998,2,1,132,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35
906,Jorge Pulido,ESP,DF,Huesca,31,1991,13,12,1011,11.2,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,28
907,Ruben Pulido Peñas,ESP,DF,Huesca,22,2000,4,4,360,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,28
908,Yacine Qasmi,MAR,FW,Leganes,31,1991,9,2,193,2.1,1,0,1,0,0,1,0,0.47,0.0,0.47,0.47,0.47,30
909,Dani Queipo,ESP,MF,Sporting Gijon,20,2002,15,11,912,10.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,37
910,Quini,ESP,DF,Granada,33,1989,13,11,935,10.4,0,1,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1,27
911,Quique,ESP,"MF,FW",Eibar,32,1990,13,6,470,5.2,3,1,2,1,1,1,0,0.57,0.19,0.77,0.38,0.57,26
912,Dani Raba,ESP,"MF,FW",Leganes,27,1995,11,5,483,5.4,2,1,2,0,0,3,0,0.37,0.19,0.56,0.37,0.56,30
913,Yanis Rahmani,FRA,MF,Eibar,27,1995,8,1,174,1.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,26
914,Hugo Rama,ESP,MF,Oviedo,25,1996,14,8,699,7.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,34
915,Jonás Ramalho,ESP,DF,Malaga,29,1993,5,4,349,3.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33
916,Benito Ramírez,ESP,MF,Las Palmas,27,1995,14,2,440,4.9,1,1,1,0,0,0,0,0.2,0.2,0.41,0.2,0.41,29
917,Sandro Ramírez,ESP,FW,Las Palmas,27,1995,8,3,396,4.4,1,2,1,0,0,2,0,0.23,0.45,0.68,0.23,0.68,29
918,Ramón,ESP,GK,CD Mirandes,22,1999,5,5,450,5.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25
919,Chris Ramos,ESP,FW,Lugo,25,1997,14,11,1006,11.2,6,0,6,0,1,2,1,0.54,0.0,0.54,0.54,0.54,32
920,Abraham Rando,ESP,DF,Villarreal B,21,2001,4,3,292,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,40
921,Andrei Ratiu,ROU,DF,Huesca,24,1998,14,14,1198,13.3,1,0,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08,28
922,Nico Ratti,ITA,GK,Andorra,29,1993,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22
923,Raúl,ESP,FW,CD Mirandes,22,2000,13,13,1079,12.0,6,1,5,1,1,1,0,0.5,0.08,0.58,0.42,0.5,25
924,Abderrahman Rebbach,ALG,"MF,FW",Alaves,24,1998,9,6,409,4.5,1,1,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,20
925,Hugo Redón,ESP,MF,Levante,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,31
926,Manolo Reina,ESP,GK,Malaga,37,1985,13,13,1170,13.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,33
927,Oriol Rey,ESP,MF,CD Mirandes,24,1998,15,13,1151,12.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,25
928,Ricard,ESP,DF,Granada,22,2000,14,13,1104,12.3,0,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,27
929,José Ricardo,BRA,DF,Lugo,24,1998,14,13,1181,13.1,0,2,0,0,0,7,0,0.0,0.15,0.15,0.0,0.15,32
930,Manuel Rico,ESP,"MF,FW",Huesca,19,2003,2,2,105,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,28
931,Mikel Rico,ESP,MF,Cartagena,38,1984,15,14,1190,13.2,2,0,2,0,0,2,0,0.15,0.0,0.15,0.15,0.15,24
932,Asier Riesgo,ESP,GK,Leganes,39,1983,8,7,659,7.3,0,1,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14,30
933,Luis Rioja,ESP,"MF,FW",Alaves,29,1993,12,9,893,9.9,3,1,3,0,0,2,1,0.3,0.1,0.4,0.3,0.4,20
934,Cristian Rivera,ESP,MF,Sporting Gijon,25,1997,8,7,638,7.1,0,1,0,0,0,4,0,0.0,0.14,0.14,0.0,0.14,37
935,Rober,ESP,DF,Levante,27,1995,9,5,538,6.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,31
936,Rubén Rochina,ESP,MF,Granada,31,1991,6,2,197,2.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,27
937,Ángel Rodado,ESP,FW,UD Ibiza,25,1997,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,39
938,Rodri,ESP,MF,Villarreal B,19,2003,9,6,507,5.6,0,1,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18,40
939,Álvaro Rodríguez,ESP,DF,Albacete,28,1994,15,15,1350,15.0,2,2,2,0,0,4,0,0.13,0.13,0.27,0.13,0.27,21
940,Cesar Rodriguez,VEN,MF,Lugo,22,2000,4,0,90,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,32
941,David Rodríguez,ESP,DF,Tenerife,22,2000,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,38
942,Riki Rodríguez,ESP,MF,Albacete,25,1997,14,13,1112,12.4,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,21
943,Genaro Rodríguez Serrano,ESP,"MF,DF",Malaga,24,1998,7,3,305,3.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,33
944,Carlos Romero,ESP,DF,Villarreal B,21,2001,8,2,210,2.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,40
945,Iván Romero,ESP,"FW,MF",Tenerife,21,2001,11,9,755,8.4,2,1,2,0,0,2,0,0.24,0.12,0.36,0.24,0.36,38
946,Jaime Romero,ESP,"FW,MF",Cartagena,32,1990,6,0,54,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24
947,Guillermo Rosas,ESP,DF,Sporting Gijon,22,2000,13,12,1104,12.3,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,37
948,Waldo Rubio,ESP,MF,Tenerife,27,1995,8,7,522,5.8,1,2,1,0,0,2,0,0.17,0.34,0.52,0.17,0.52,38
949,Carlos Ruiz,ESP,DF,Tenerife,39,1983,8,8,666,7.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,38
950,Isma Ruiz,ESP,MF,UD Ibiza,21,2001,3,1,163,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,39
951,Sergio Ruiz,ESP,MF,Granada,27,1994,6,4,426,4.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,27
952,Armando Sadiku,ALB,FW,Cartagena,31,1991,15,8,769,8.5,5,0,3,2,2,1,0,0.59,0.0,0.59,0.35,0.35,24
953,Jorge Sáenz,ESP,DF,Leganes,25,1996,14,14,1260,14.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,30
954,Íñigo Sainz Maza,ESP,MF,Racing Sant,24,1998,14,14,1260,14.0,0,1,0,0,0,6,0,0.0,0.07,0.07,0.0,0.07,36
955,José Salinas,ESP,DF,CD Mirandes,22,2000,15,15,1349,15.0,1,2,1,0,0,3,0,0.07,0.13,0.2,0.07,0.2,25
956,Cristian Salvador,ESP,MF,Huesca,27,1994,8,4,370,4.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,28
957,Diego Sánchez,ESP,DF,Sporting Gijon,19,2003,7,5,437,4.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,37
958,Germán Sánchez,ESP,DF,Racing Sant,35,1986,2,2,159,1.8,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,36
959,Borja Sánchez Laborde,ESP,MF,Oviedo,26,1996,6,4,389,4.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,34
960,Luca Sangalli,ESP,MF,Cartagena,27,1995,13,4,443,4.9,0,1,0,0,0,3,0,0.0,0.2,0.2,0.0,0.2,24
961,Marco Sangalli,ESP,MF,Oviedo,30,1992,8,5,404,4.5,0,1,0,0,0,0,0,0.0,0.22,0.22,0.0,0.22,34
962,Adrián Sanmartín,ESP,FW,Cartagena,17,2005,2,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24
963,Sergio Santos,ESP,DF,CD Mirandes,21,2001,6,1,194,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25
964,Aitor Sanz,ESP,MF,Tenerife,38,1984,13,12,998,11.1,1,0,1,0,0,7,1,0.09,0.0,0.09,0.09,0.09,38
965,Marcelo Saracchi,URU,DF,Levante,24,1998,6,6,389,4.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,31
966,Eneko Satrústegui,ESP,DF,Racing Sant,32,1990,14,14,1231,13.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,36
967,Aleksandar Sedlar,SRB,"DF,MF",Alaves,30,1991,8,8,602,6.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,20
968,Josep Señé,ESP,MF,Lugo,30,1991,15,14,1183,13.1,1,0,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,32
969,Sergi,ESP,DF,Leganes,30,1992,8,7,634,7.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,30
970,Francho Serrano Gracia,ESP,MF,Zaragoza,21,2001,11,5,493,5.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,41
971,Javier Serrano,ESP,MF,CD Mirandes,19,2003,9,2,232,2.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25
972,Nicolás Serrano,ESP,"MF,FW",CD Mirandes,19,2003,13,10,827,9.2,0,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,25
973,Salva Sevilla,ESP,MF,Alaves,38,1984,13,12,951,10.6,1,1,0,1,1,4,0,0.09,0.09,0.19,0.0,0.09,20
974,Armando Shashoua,ENG,MF,UD Ibiza,22,2000,6,4,338,3.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,39
975,Samuel Shashoua,ENG,"MF,FW",Tenerife,23,1999,3,3,220,2.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,38
976,Gaku Shibasaki,JPN,"MF,FW",Leganes,30,1992,13,10,932,10.4,0,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,30
977,Sidnei,BRA,DF,Las Palmas,33,1989,9,8,603,6.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,29
978,Óscar Sielva,ESP,MF,Huesca,31,1991,9,3,326,3.6,1,0,1,0,0,3,0,0.28,0.0,0.28,0.28,0.28,28
979,Grego Sierra,ESP,DF,Burgos,29,1993,10,9,761,8.5,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,23
980,Jonathan Silva,ARG,DF,Granada,28,1994,6,2,201,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27
981,Matheus Pereira da Silva,BRA,MF,Eibar,24,1998,14,13,1069,11.9,1,0,1,0,0,5,0,0.08,0.0,0.08,0.08,0.08,26
982,Giuliano Simeone,ARG,"FW,MF",Zaragoza,19,2002,14,11,1011,11.2,3,2,3,0,0,2,1,0.27,0.18,0.45,0.27,0.45,41
983,Nikola Šipčić,MNE,DF,Tenerife,27,1995,11,10,903,10.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,38
984,Antonio Sivera,ESP,GK,Alaves,26,1996,15,15,1350,15.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,20
985,Patrick Soko,CMR,MF,Huesca,25,1997,12,9,608,6.8,0,1,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,28
986,Fran Sol,ESP,FW,Malaga,30,1992,13,6,635,7.1,1,0,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,33
987,Roberto Soldado,ESP,FW,Levante,37,1985,12,3,377,4.2,1,0,1,0,0,3,0,0.24,0.0,0.24,0.24,0.24,31
988,Son,ESP,DF,Levante,28,1994,15,12,1163,12.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,31
989,Juan Soriano,ESP,GK,Tenerife,25,1997,15,15,1350,15.0,0,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,38
990,Alberto Soro,ESP,MF,Granada,23,1999,3,2,151,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27
991,Yuri de Souza,BRA,"FW,MF",Ponferradina,40,1982,11,8,554,6.2,3,1,1,2,2,0,1,0.49,0.16,0.65,0.16,0.32,35
992,Stoichkov,ESP,"MF,FW",Eibar,29,1993,15,14,1149,12.8,5,0,4,1,2,5,0,0.39,0.0,0.39,0.31,0.31,26
993,Álex Suárez,ESP,DF,Las Palmas,29,1993,14,13,1026,11.4,1,0,1,0,0,5,0,0.09,0.0,0.09,0.09,0.09,29
994,Jaime Suárez Juesas,ESP,MF,Oviedo,25,1996,8,3,275,3.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,34
995,Mamadou Sylla,SEN,FW,Alaves,28,1994,3,1,80,0.9,1,0,1,0,0,0,0,1.13,0.0,1.13,1.13,1.13,20
996,Rodrigo Tarín,ESP,DF,Oviedo,26,1996,13,13,1142,12.7,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,34
997,Heriberto Tavares,POR,"MF,FW",Ponferradina,25,1997,10,3,284,3.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,35
998,Sergio Tejera,ESP,MF,Cartagena,32,1990,6,1,156,1.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,24
999,Álvaro Tejero,ESP,DF,Eibar,26,1996,15,13,1210,13.4,1,1,1,0,0,2,0,0.07,0.07,0.15,0.07,0.15,26
1000,Nahuel Tenaglia,ARG,DF,Alaves,26,1996,10,9,814,9.0,2,0,2,0,0,2,0,0.22,0.0,0.22,0.22,0.22,20
1001,Teto,ESP,MF,Tenerife,20,2001,15,9,869,9.7,1,0,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,38
1002,Idrissa Thiam,MTN,FW,Lugo,22,2000,5,1,132,1.5,0,1,0,0,0,0,0,0.0,0.68,0.68,0.0,0.68,32
1003,Fausto Tienza,ESP,MF,Racing Sant,32,1990,12,8,670,7.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,36
1004,David Timor,ESP,"MF,DF",Huesca,33,1989,15,12,1064,11.8,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,28
1005,Pablo Tomeo,ESP,MF,Huesca,22,2000,12,7,699,7.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,28
1006,Liberman Torres,ECU,MF,Villarreal B,20,2002,2,1,69,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40
1007,Xavi Torres,ESP,"MF,DF",Lugo,35,1986,13,12,1050,11.7,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,32
1008,Angel Troncho,ESP,MF,Eibar,20,2002,5,1,145,1.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,26
1009,Iker Undabarrena,ESP,MF,Leganes,27,1995,12,12,973,10.8,0,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09,30
1010,Myrto Uzuni,ALB,MF,Granada,27,1995,14,12,992,11.0,8,1,6,2,2,3,0,0.73,0.09,0.82,0.54,0.64,27
1011,Valentín Vada,ARG,"MF,FW",Zaragoza,26,1996,15,12,1015,11.3,2,1,2,0,0,4,0,0.18,0.09,0.27,0.18,0.27,41
1012,Álvaro Vadillo,ESP,"FW,MF",Eibar,28,1994,5,0,49,0.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,26
1013,Pablo Valcarce,ESP,"MF,FW",Burgos,29,1993,14,11,842,9.4,0,2,0,0,0,3,0,0.0,0.21,0.21,0.0,0.21,23
1014,Eugeni Valderrama,ESP,"MF,FW",Zaragoza,28,1994,7,2,213,2.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,41
1015,Gerard Valentín,ESP,MF,Huesca,29,1993,15,6,674,7.5,1,2,1,0,0,3,0,0.13,0.27,0.4,0.13,0.4,28
1016,Pol Valentín,ESP,DF,Sporting Gijon,25,1997,11,3,380,4.2,0,1,0,0,0,1,0,0.0,0.24,0.24,0.0,0.24,37
1017,Germán Valera,ESP,FW,Andorra,20,2002,12,8,655,7.3,2,0,2,0,0,0,0,0.27,0.0,0.27,0.27,0.27,22
1018,Borja Valle,ESP,"MF,FW",Cartagena,30,1992,13,9,710,7.9,2,0,2,0,0,2,0,0.25,0.0,0.25,0.25,0.25,24
1019,Hugo Vallejo,ESP,MF,Ponferradina,22,2000,10,4,391,4.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,35
1020,Álvaro Vallés,ESP,GK,Las Palmas,25,1997,15,15,1350,15.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29
1021,José Luis García Vayá,ESP,MF,Levante,24,1998,13,12,1040,11.6,0,1,0,0,0,5,1,0.0,0.09,0.09,0.0,0.09,31
1022,Javier Vázquez López,ESP,DF,UD Ibiza,22,2000,11,7,607,6.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,39
1023,Pablo Vázquez,ESP,DF,Cartagena,28,1994,8,8,646,7.2,0,1,0,0,0,3,1,0.0,0.14,0.14,0.0,0.14,24
1024,Frederico Venâncio,POR,DF,Eibar,29,1993,9,6,634,7.0,1,0,1,0,0,3,1,0.14,0.0,0.14,0.14,0.14,26
1025,Rúben Vezo,POR,DF,Levante,28,1994,13,13,1110,12.3,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,31
1026,Iñigo Vicente,ESP,MF,Racing Sant,24,1998,15,12,917,10.2,1,1,1,0,1,1,0,0.1,0.1,0.2,0.1,0.2,36
1027,Fede Vico,ESP,"MF,FW",Leganes,28,1994,15,6,654,7.3,1,1,0,1,1,2,1,0.14,0.14,0.28,0.0,0.14,30
1028,Daniel Vidal,ESP,MF,Lugo,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,32
1029,Jonathan Viera,ESP,"MF,FW",Las Palmas,33,1989,12,9,886,9.8,3,2,2,1,1,2,0,0.3,0.2,0.51,0.2,0.41,29
1030,Martí Vilà,ESP,DF,Andorra,23,1999,13,11,912,10.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,22
1031,Adrià Vilanova,ESP,DF,Andorra,25,1997,12,9,847,9.4,0,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,22
1032,Ignasi Vilarrasa,ESP,DF,Huesca,23,1999,10,4,432,4.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28
1033,Fran Villalba,ESP,"MF,FW",Malaga,24,1998,10,7,499,5.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,33
1034,Juan Villar,ESP,"FW,MF",Huesca,34,1988,3,0,31,0.3,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,28
1035,Viti,ESP,MF,Oviedo,25,1997,8,6,470,5.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,34
1036,Vitolo,ESP,"FW,MF",Las Palmas,33,1989,4,0,64,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29
1037,Óscar Whalley,ESP,GK,Lugo,28,1994,15,15,1350,15.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,32
1038,Xeber,ESP,"MF,FW",Alaves,25,1997,14,11,867,9.6,2,0,2,0,0,1,1,0.21,0.0,0.21,0.21,0.21,20
1039,Rubén Yáñez,ESP,GK,Malaga,29,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33
1040,Yoel,ESP,GK,Eibar,34,1988,11,11,990,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,26
1041,Míchel Zabaco,ESP,DF,Burgos,33,1989,6,4,355,3.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23
1042,Alberto Zapater,ESP,MF,Zaragoza,37,1985,7,1,147,1.6,1,0,1,0,0,2,0,0.61,0.0,0.61,0.61,0.61,41
1043,Jorge Zarfino,URU,"MF,FW",Sporting Gijon,31,1991,15,13,1136,12.6,2,2,2,0,0,1,0,0.16,0.16,0.32,0.16,0.32,37
1044,Ekain Zenitagoia,ESP,FW,UD Ibiza,28,1994,14,10,896,10.0,2,2,1,1,1,2,0,0.2,0.2,0.4,0.1,0.3,39
1045,Luca Zidane,FRA,GK,Eibar,24,1998,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,26
1046,Elady Zorrilla,ESP,"FW,MF",Tenerife,32,1990,3,0,79,0.9,1,0,0,1,1,0,0,1.14,0.0,1.14,0.0,0.0,38
1047,Loren Zúñiga,ESP,FW,Malaga,19,2003,8,2,256,2.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,33
1048,Uroš Đurđević,MNE,FW,Sporting Gijon,28,1994,14,11,960,10.7,2,1,2,0,0,2,0,0.19,0.09,0.28,0.19,0.28,37
