,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
66,Santiago Bueno,uy URU,DF,Girona,24-003,1998,14,14,"1,260",14.0,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07
67,Sergio Busquets,es ESP,MF,Barcelona,34-119,1988,12,11,906,10.1,0,1,0,0,0,6,1,0.00,0.10,0.10,0.00,0.10
68,Leandro Cabrera,uy URU,DF,Espanyol,31-148,1991,13,13,"1,107",12.3,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
69,Cala,es ESP,DF,Cádiz,32-351,1989,3,1,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
70,Fernando Calero,es ESP,DF,Espanyol,27-059,1995,12,10,873,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
71,Eduardo Camavinga,fr FRA,MF,Real Madrid,20-002,2002,14,5,511,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
72,Sergio Camello,es ESP,FW,Rayo Vallecano,21-275,2001,14,11,934,10.4,2,2,2,0,0,0,0,0.19,0.19,0.39,0.19,0.39
73,Sergio Canales,es ESP,"MF,FW",Betis,31-269,1991,11,9,856,9.5,1,0,1,0,0,4,1,0.11,0.00,0.11,0.11,0.11
74,Ander Capa,es ESP,FW,Athletic Club,30-277,1992,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
75,Étienne Capoue,fr FRA,MF,Villarreal,34-124,1988,10,10,836,9.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
76,Isaac Carcelen,es ESP,DF,Cádiz,29-203,1993,7,5,452,5.0,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00
77,,,,,,,,,,,,,,,,,,,,,,
78,Juan Carlos,es ESP,GK,Girona,34-296,1988,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
79,José Carlos Lazo,es ESP,"MF,FW",Almería,26-269,1996,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
80,José Carlos Lazo,es ESP,"MF,FW",Espanyol,26-269,1996,7,0,117,1.3,1,0,1,0,0,0,0,0.77,0.00,0.77,0.77,0.77
81,Carmona,es ESP,DF,Sevilla,20-287,2002,9,4,442,4.9,2,1,2,0,0,4,0,0.41,0.20,0.61,0.41,0.61
